"__uid","__parent_uid","language_code","language_name","language_alternateNames","language_dialects","language_status","language_notes","__display_name","language_code2","language_printName","__record_type","language_openTypeTags","language_sortName","language_retired","language_inEthnologue","language_subjectTabFlags","language_localNames"
"3b2eee6826","","slw","Sialum","","","L","","Sialum [slw]","","Sialum","micro","","Sialum","","1","67",""
"g498ddgf7e","","slx","Salampasu","Chisalampasu","","L","","Salampasu [slx]","","Salampasu","micro","","Salampasu","","1","67",""
"ggaabbah25","","sly","Selayar","Salajar, Salayar, Salayer, Saleier, Siladja, Silajara","","L","","Selayar [sly]","","Selayar","micro","","Selayar","","1","67",""
"868c7ceadc","","slz","Ma’ya","Ma'ya, Sailolof, Salawati, Samate","","L","","Ma’ya [slz]","","Ma’ya","micro","","Ma’ya","","1","67",""
"gd4e38a63d","","sma","Saami, South","Saami, Same, Samic, Southern Lapp, Southern Sami, Åarjelsaemiengïele","","L","","Saami, South [sma]","","South Saami","micro","SSM","Saami, South","","1","83","Åarjelsaemiengïele"
"fef69bcdh9","","smb","Simbari","Chimbari","","L","","Simbari [smb]","","Simbari","micro","","Simbari","","1","67","Simbari"
"2799gc38f4","","smc","Tayatuk","Dinanget, Som, Somm","","X","","Tayatuk [smc]","","Tayatuk","micro","","Tayatuk","","1","67",""
"dbcd35eafh","","smd","Sama","Kissama, Quissama","","R","","Sama [smd]","","Sama","micro","","Sama","It has been merged with {link:page.php?item_id=language_detail&key=kmb kmb}.","1","67",""
"hd2796a44h","","sme","Northern Sami","","","L","","Northern Sami [sme]","se","Northern Sami","micro","NSM","Northern Sami","","1","87","Sámegiella"
"gb3g9h3682","","smf","Auwe","Simog","","L","","Auwe [smf]","","Auwe","micro","","Auwe","","1","67",""
"6gf77f3h3c","","smg","Simbali","Asimbali","","L","","Simbali [smg]","","Simbali","micro","","Simbali","","1","67",""
"95h5bg9h9e","","smh","Samei","Sani","","L","","Samei [smh]","","Samei","micro","","Samei","","1","83",""
"d8c4da9882","","smj","Saami, Lule","Julevusámegiella, Lule, Lule Sami, Saame, Saami","","L","","Saami, Lule [smj]","","Lule Saami","micro","LSM","Saami, Lule","","1","87","Julevusámegiella"
"ed37f3529h","","smk","Bolinao","Bino-Bolinao, Binobolinao, Binubolinao, Binubulinao, Boliano, Bolinao Sambal, Bolinao Zambal, Bulinaw, Sambal Bolinao","","L","","Bolinao [smk]","","Bolinao","micro","","Bolinao","","1","83","Binobolinao"
"39gb87557a","","sml","Sama, Central","Badjaw, Bajau Pela’u, Central Sama, Central Sinama, Orang Laut, Sama, Sama Dilaut, Sama Kabinga’an, Sama Mandelaut, Sama Pala’u, Sama Siasi, Sama Sitangkai, Sama Ubian, Samal, Sinama","","L","","Sama, Central [sml]","","Central Sama","micro","","Sama, Central","","1","83","Sinama"
"b7g4hd7ah5","","smm","Musasa","Musahar, Rishaidep","","L","","Musasa [smm]","","Musasa","micro","","Musasa","","1","67",""
